Rank,State,Average Annual Wage,Average electricity price,Average internet price per Mbit,Top corporate income tax rate,Business cost affordability score / 10
1,Texas,"$39,640",8.52,$2.29,-%,8.43
2,Oklahoma,"$37,110",7.96,$2.37,6.00%,8.16
3,Kentucky,"$37,230",10.82,$2.00,5.00%,7.93
4,Nevada,"$38,580",6.96,$4.73,-%,7.92
5,Georgia,"$38,660",10.52,$1.65,5.75%,7.84
6,North Carolina,"$38,740",8.18,$5.87,2.50%,7.82
7,Missouri,"$38,890",8.6,$4.41,4.00%,7.81
8,Florida,"$37,580",9.41,$3.71,4.46%,7.8
9,Mississippi,"$32,710",11.13,$2.91,5.00%,7.79
10,Ohio,"$40,300",9.74,$3.41,-%,7.58
10,Utah,"$39,480",8.27,$4.52,4.95%,7.58
12,Idaho,"$37,010",7.78,$4.03,6.93%,7.46
13,South Carolina,"$36,100",10.23,$4.20,5.00%,7.42
14,West Virginia,"$35,500",9.81,$3.85,6.50%,7.27
15,Arkansas,"$34,330",8.98,$5.13,6.20%,7.17
16,Tennessee,"$37,440",10.8,$3.23,6.50%,7.16
17,Kansas,"$38,670",10.73,$2.88,7.00%,7.1
18,Arizona,"$40,260",10.75,$4.35,4.90%,7.09
19,Colorado,"$46,850",10.47,$3.90,4.55%,7.06
19,Indiana,"$38,600",11.75,$3.75,5.25%,7.06
21,Delaware,"$43,090",9.46,$2.54,8.70%,6.83
22,Michigan,"$40,920",12.53,$3.05,6.00%,6.81
23,Maryland,"$48,740",9.67,$1.99,8.25%,6.8
24,Louisiana,"$36,460",10.47,$4.09,8.00%,6.63
25,Rhode Island,"$47,360",14.54,$0.63,7.00%,6.59
26,Illinois,"$43,700",9.66,$2.57,9.50%,6.55
27,Virginia,"$45,210",7.46,$6.74,6.00%,6.51
28,Nebraska,"$39,850",8.87,$5.43,7.81%,6.43
28,New Mexico,"$37,380",10.54,$6.23,5.90%,6.43
30,Oregon,"$43,760",9.18,$4.95,7.60%,6.38
31,North Dakota,"$44,220",9.36,$7.57,4.31%,6.33
32,Washington,"$51,600",9.15,$5.20,-%,6.28
33,Pennsylvania,"$41,760",8.1,$4.48,9.99%,6.25
33,Wisconsin,"$41,150",10.99,$4.32,7.90%,6.25
35,Alabama,"$36,250",12.17,$5.82,6.50%,6.12
36,Maine,"$40,460",12.54,$3.08,8.93%,6.09
37,South Dakota,"$36,820",10.4,$7.17,-%,6.06
38,New York,"$49,580",15.63,$1.72,6.50%,6.04
39,Montana,"$37,860",10.66,$7.28,6.75%,5.84
40,Massachusetts,"$53,550",15.12,$1.13,8.00%,5.77
41,New Hampshire,"$44,130",15.9,$2.77,7.70%,5.62
42,Wyoming,"$43,030",9.81,$7.84,-%,5.55
43,Connecticut,"$51,090",16.04,$2.06,7.50%,5.53
44,Minnesota,"$46,610",11.21,$4.58,9.80%,5.39
45,Iowa,"$39,920",10.21,$6.34,9.80%,5.37
46,District of Columbia,"$79,650",12.65,$0.84,-%,5.33
47,Vermont,"$43,270",16.67,$2.96,8.50%,5.24
48,New Jersey,"$48,130",12.37,$3.01,11.50%,5.14
49,California,"$47,290",17.74,$1.86,8.84%,5.08
